id,topic_idea,target_audience,soundscape,video_engine,cta_type,scheduled_date,status
1,"How 40Hz Gamma sound waves boost deep coding focus by 300% without coffee","Software Developers & Engineers","Gamma Retention Pulse (40Hz)","LT25","Drop DAILY for free script","2026-08-30 08:00","pending"
2,"Why traditional white noise fails for ADHD brains and what neuroscience replaces it with","ADHD Professionals & Students","Alpha Flow Focus (10Hz)","SUNDANCE","Visit wiredvibe.ai/adhd for 7-day boost","2026-08-31 08:00","pending"
3,"The 10-Minute Deep Work Protocol: Binaural soundscapes meet Loop Engineering","Founders & Remote Workers","Theta Creative Wave (6Hz)","GEMINI_VEO","Comment FOCUS to get prompt bundle","2026-09-01 08:00","pending"
4,"Stop listening to high-tempo Spotify tracks while coding: Here is the neural frequency science","Tech Founders & Coders","Gamma Retention Pulse (40Hz)","LT25","Get free audio preview at wiredvibe.ai","2026-09-02 08:00","pending"
5,"Autonomous AI Video Creation: How this entire video was written rendered and published on autopilot","AI Creators & Growth Marketers","Cyberpunk Hype Beat","GEMINI_VEO","Grab Automation 1 GitHub Repo link in bio","2026-09-03 08:00","pending"
6,"Overcoming afternoon brain fog: 3 neuroscience sound techniques used by high performers","Corporate Leaders & Academics","Delta Sleep & Recovery","SUNDANCE","Save this video & visit wiredvibe.ai","2026-09-04 08:00","pending"
7,"Why ATL-Trust and enterprise teams use auditory focus environments during security audits","Cybersecurity Analysts","Deep Tech Alpha Flow","LT25","Read case study at atl-trust.com","2026-09-05 08:00","pending"
8,"The top 5 AI Developer tools on AIToolboard that run on autopilot in 2026","DevOps & SaaS Builders","Cyberpunk Hype Beat","GEMINI_VEO","Explore tools at aitoolboard.com","2026-09-06 08:00","pending"
9,"Neuroplasticity hack: How auditory stimulation accelerates learning complex algorithms","Computer Science Students","Gamma 40Hz Super-Learning","SUNDANCE","Comment CODE for soundscape download","2026-09-07 08:00","pending"
10,"How Voxstar automated 6-channel daily social distribution with zero human clicking","Solo Founders & Agencies","Modern Neuro Rhythm","LT25","DM 'AUTOMATE' for the 4-model package","2026-09-08 08:00","pending"
